strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
Classic Old-Fashioned,9/2/2017 16:29,11145,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg,Old-fashioned glass,,Bitters,,,,,,,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick.",3 dashes , , ,,,,,1 tsp ,1,3 oz ,1,1, , , ,
Clove Cocktail,4/28/2016 19:19,11255,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Sloe gin,Wine,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1/2 oz ,1/2 oz Muscatel , , , , , ,,
Clover Club,9/2/2017 11:38,17186,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,Cocktail glass,Unforgettables,Gin,,,,,,,Grenadine,Lemon,Egg white,,,,,,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",1 1/2 oz ,,,,,,,2 tsp ,Juice of 1/2 ,1, , , , , ,
Coffee Liqueur,9/3/2015 5:17,12798,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,Collins Glass,,Coffee,,,,,,,Vanilla extract,Sugar,Vodka,Water,,,,,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",10 tblsp instant , ,,,,,,4 tblsp ,2 1/2 cups ,1 qt ,2 1/2 cups , , , , ,
Coffee-Vodka,8/31/2016 19:18,12800,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,Collins Glass,,Water,,,,,,,Sugar,Coffee,Vanilla,Vodka,Caramel coloring,,,,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",2 cups ,"
","
",,,,,2 cups white ,1/2 cup instant ,2-Jan,1 1/2 cup ,"
","
","
","
",
Coke and Drops,9/1/2016 9:42,17108,Non alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/yrtxxp1472719367.jpg,Cocktail glass,,Coca-Cola,,,,,,,Lemon juice,,,,,,,,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",1 dl ,,,,,,,7 drops , , , , , ,,,
Cosmopolitan,9/2/2017 17:06,17196,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,Cocktail glass,Contemporary Classics,Absolut Citron,,,,,,,Lime juice,Cointreau,Cranberry juice,,,,,,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,1 1/4 oz ,,,,,,,1/4 oz ,1/4 oz ,1/4 cup , , , , , ,
Cosmopolitan Martini,8/18/2015 15:19,14133,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg,Cocktail Glass,,Cointreau,,,,,,,Vodka,Lime,Cranberry juice,,,,,,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.",1/2 oz ,,,,,,,1 oz ,Juice of 1/2 ,1 splash , , , , , ,
Cranberry Cordial,8/31/2016 19:16,12802,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qtspsx1472667392.jpg,Collins Glass,,Cranberries,,,,,,,Sugar,Light rum,,,,,,,"Place the chopped cranberries in a 2 liter jar that has a tight-fitting lid. Add the sugar and rum. Adjust the lid securely and place the jar in a cool, dark place. Invert the jar and shake it every day for six weeks. Strain the cordial into bottles and seal with corks.",1/2 kg chopped ,,,,,,,3/4 L ,1/2 L , , , , , ,,
Cranberry Punch,9/2/2017 22:54,12890,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/mzgaqu1504389248.jpg,Punch Bowl,,Cranberry juice,,,,,,,Sugar,Pineapple juice,Almond flavoring,Ginger ale,,,,,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.",4 cups , ,,,,,,1 1/2 cup ,4 cups ,1 tblsp ,2 qt , , , , ,
Cream Soda,11/15/2016 11:29,14608,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,Highball glass,,Spiced rum,,,,,,,Ginger ale,,,,,,,,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,1 oz ,,,,,,,"
","
","
","
","
","
",,,
Creme de Menthe,9/3/2015 5:18,12808,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/yxswtp1441253918.jpg,Collins Glass,,Sugar,,,,,,,Water,Grain alcohol,Peppermint extract,Food coloring,,,,,Bring sugar and water to a boil and simmer for 10 minutes. Cool. Add the remaining ingredients and stir. Cover and let ripen for 1 month.,8 cups , ,,,,,,6 cups ,1 pint ,1 oz pure ,1 tblsp green , , , , ,
Cuba Libra,9/2/2017 22:44,13751,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,Highball glass,,Dark rum,,,,,,,Lime,Coca-Cola,Ice,,,,,,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,1-2 shot ,,,,,,,Squeeze ,Fill with ,"
","
","
","
","
","
",
Cuba Libre,9/6/2016 23:41,11288,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg,Highball glass,Contemporary Classics,Light rum,,,,,,,Lime,Coca-Cola,,,,,,,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,2 oz ,,,,,,,Juice of 1/2 ,,,,,,,,
Daiquiri,8/18/2015 15:06,11291,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/usuuur1439906797.jpg,Cocktail glass,,Light rum,,,,,,,Lime,Powdered sugar,,,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 1/2 oz ,,,,,,,Juice of 1/2 ,1 tsp , , , , , ,,
Damned if you do,8/24/2017 9:58,13194,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,Shot glass,,Whiskey,,,,,,,Hot Damn,,,,,,,,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,0.75 oz ,,,,,,,0.25 oz , , , , , ,,,
Danbooka,9/3/2015 3:07,15409,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg,Coffee Mug,,Coffee,,,,,,,Everclear,,,,,,,,pour it in and mix it.,3 parts ,,,,,,,1 part , , , , , ,,,
Dark Caipirinha,8/28/2016 18:40,17177,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,Highball glass,,demerara Sugar,,,,,,,Lime,Cachaca,,,,,,,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",2 tsp ,,,,,,,1,2 1/2 oz,,,,,,,
Dark and Stormy,9/2/2017 18:55,17211,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg,Highball glass,New Era Drinks,Dark Rum,,,,,,,Ginger Beer,,,,,,,,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,5 cl,,,,,,,10 cl,,,, , ,,,
Darkwood Sling,9/1/2016 9:41,14482,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg,Cocktail glass,,Cherry Heering,,,,,,,Soda water,Orange juice,Ice,,,,,,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.",1 part ,,,,,,,1 part ,1 part ," cubes
","
","
","
","
","
",
Derby,9/2/2017 11:45,17187,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/i502ra1504349156.jpg,Cocktail glass,Unforgettables,gin,,,,,,,Peach Bitters,Mint,,,,,,,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,6 cl,,,,,,,2 dashes,2 Fresh leaves, , , , , ,,
Diesel,2/3/2016 15:20,13128,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg,Pint glass,,Lager,,,,,,,Cider,Blackcurrant cordial,,,,,,,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,1/2 pint ,,,,,,,1/2 pint ,1 dash , , , , , ,,
Dirty Martini,1/22/2017 11:08,17181,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,Cocktail glass,New Era Drinks,Vodka,,,,,,,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",70ml/2fl oz,,,,,,,1 tbsp,2 tbsp,1 wedge,1,,,,,
Dirty Nipple,4/28/2016 19:01,14466,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg,Shot glass,,Kahlua,,,,,,,Sambuca,Bailey's irish cream,,,,,,,This is a layered shot - the Bailey's must be on top,"
",,,,,,,"
","
","
","
","
","
",,,
Downshift,8/24/2017 9:38,16991,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg,Hurricane glass,,Fruit punch,,,,,,,Sprite,Tequila,151 proof rum,,,,,,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.",2 part ,,,,,,,1 part ,2 shots ,Float Bacardi , , , , , ,
Dragonfly,9/2/2017 22:51,11320,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lnvbip1504389100.jpg,Highball glass,,Gin,,,,,,,Ginger ale,Lime,,,,,,,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",1 1/2 oz ,,,,,,,4 oz ,1, , , , , ,,
Drinking Chocolate,2/20/2017 15:06,12736,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,Coffee mug,,Heavy cream,,,,,,,Milk,Cinnamon,Vanilla,Chocolate,Whipped cream,,,,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",2 oz , , ,,,,,6-8 oz ,1 stick ,1,2 oz finely chopped dark ,Fresh , , , ,
Dry Rob Roy,,11324,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg,Cocktail glass,,Scotch,,,,,,,Dry Vermouth,Lemon peel,,,,,,,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",2 1/2 oz ,,,,,,,1 1/2 tsp ,1 twist of , , , , , ,,
Dubonnet Cocktail,8/13/2015 10:12,11326,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xxsuwr1439457147.jpg,Cocktail glass,,Dubonnet Rouge,,,,,,,Gin,Bitters,Lemon peel,,,,,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,1 1/2 oz ,,,,,,,3/4 oz ,1 dash ,1 twist of , , , , , ,
Duchamp's Punch,1/22/2017 11:31,17182,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg,Old-fashioned glass,,Pisco,,,,,,,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender,,,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",5 cl,,,,,,,2.5 cl,2.5 cl,1.5 cl,2 Dashes,Pinch,2 sprigs,,,
Egg Cream,1/14/2017 21:47,12668,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,Coffee mug,,Chocolate syrup,,,,,,,Milk,Soda water,,,,,,,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",2 tblsp ,,,,,,,6 oz whole ,6 oz , , , , , ,,
Egg Nog #4,7/18/2016 22:02,12910,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wpspsy1468875747.jpg,Punch bowl,,Egg yolk,Sugar,Nutmeg,,,,,Sugar,Milk,Light rum,Bourbon,Vanilla extract,Salt,Whipping cream,Egg white,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",6,1/4 cup ,Ground , , , , ,1/4 cup ,2 cups ,1/2 cup ,1/2 cup ,1 tsp ,1/4 tsp ,1 cup ,6,
Egg Nog - Healthy,7/18/2016 21:55,12916,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg,Collins Glass,,Egg,,,,,,,Sugar,Condensed milk,Milk,Vanilla extract,Rum,Nutmeg,,,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",1/2 cup ,"
","
","
",,,,3 tblsp ,13 oz skimmed ,3/4 cup skimmed ,1 tsp ,1 tsp ,"
","
","
",
Egg-Nog - Classic Cooked,7/18/2016 21:58,12914,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/quxsvt1468875505.jpg,Pitcher,,Egg,,,,,,,Sugar,Salt,Milk,Vanilla extract,,,,,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",6, ,,,,,,1/4 cup ,1/4 tsp ,1 qt ,1 tsp , , , , ,
English Highball,9/4/2017 11:09,11338,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg,Highball glass,,Brandy,,,,,,,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",3/4 oz ,"
",,,,,,3/4 oz ,3/4 oz ,"
","
","
","
","
","
",
English Rose Cocktail,9/2/2015 16:44,11339,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg,Cocktail glass,,Apricot brandy,,,,,,,Gin,Dry Vermouth,Grenadine,Lemon juice,Cherry,,,,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,3/4 oz , , ,,,,,1 1/2 oz ,3/4 oz ,1 tsp ,1/4 tsp ,1, , , ,
Espresso Martini,9/2/2017 18:22,17212,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg,Cocktail glass,New Era Drinks,Vodka,,,,,,,Kahlua,Sugar syrup,,,,,,,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",5 cl,,,,,,,1 cl,1 dash,,,,,,,
Fahrenheit 5000,9/8/2016 15:24,13070,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg,Shot glass,,Firewater,,,,,,,Absolut Peppar,Tabasco sauce,,,,,,,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,1/2 oz ,,,,,,,1/2 oz ,1 dash , , , , , ,,
Flaming Dr. Pepper,8/24/2017 10:03,13202,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg,Collins Glass,,Amaretto,,,,,,,Vodka,151 proof rum,Dr. Pepper,Beer,,,,,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",1 oz , ,,,,,,1 oz ,1 oz Bacardi ,1 oz ,1 oz , , , , ,
Flaming Lamborghini,4/28/2016 19:03,16485,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg,Cocktail glass,,Kahlua,,,,,,,Sambuca,Blue Curacao,Bailey's irish cream,,,,,,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",1 oz ,,,,,,,1 oz ,1 oz ,1 oz , , , , , ,
Flander's Flake-Out,4/28/2016 19:05,13675,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg,Collins Glass,,Sambuca,,,,,,,Sarsaparilla,,,,,,,,Bang 'em both in.,1/4 glass ,,,,,,,3/4 glass , , , , , ,,,
Flying Dutchman,9/4/2017 11:12,11368,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/akik8t1504519958.jpg,Old-fashioned glass,,Gin,,,,,,,Triple sec,,,,,,,,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",2 oz ,,,,,,,1/2 oz , , , , , ,,,
Flying Scotchman,9/4/2017 11:14,11369,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/glgrix1504520040.jpg,Cocktail glass,,Scotch,,,,,,,Sweet Vermouth,Bitters,Sugar syrup,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1 oz ,1 dash ,1/4 tsp , , , , , ,
Foxy Lady,9/4/2017 11:10,11375,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,Cocktail glass,,Amaretto,,,,,,,Creme de Cacao,Light cream,,,,,,,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",1/2 oz ,,,,,,,1/2 oz ,2 oz , , , , , ,,
Frappé,9/3/2015 3:05,12768,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,Highball Glass,,Coffee,,,,,,,Milk,Sugar,,,,,,,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",1/2 cup black ,,,,,,,1/2 cup ,1-2 tsp , , , , , ,,
Freddy Kruger,4/28/2016 19:06,14688,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg,Shot glass,,Jägermeister,,,,,,,Sambuca,Vodka,,,,,,,make it an ample size shot!!,1/2 oz ,,,,,,,1/2 oz ,1/2 oz , , , , , ,,
"French ""75""",8/18/2015 15:08,11379,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qpvxsx1439906903.jpg,Collins glass,,Gin,,,,,,,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,,"In a shaker half-filled with ice cubes, combine the gin, sugar, and lemon juice. Shake well. Pour into a collins glass. Top with the Champagne. Stir well and garnish with the orange slice and the cherry.",1 1/2 oz , , ,,,,,2 tsp superfine ,1 1/2 oz ,4 oz Chilled ,1,1, , , ,
